2022-07-04 11:07:907 INFO  ManageDriver :30 - Launching Chrome Browser
2022-07-04 11:07:101 INFO  HomePage :45 - verifying the logo is present or not [[ChromeDriver: chrome on WINDOWS (7c85a6137d1fcca01f92d21cb7f99933)] -> xpath: (//*[name()='svg'])[2]]
2022-07-04 11:07:950 INFO  ManageDriver :30 - Launching Chrome Browser
2022-07-04 11:07:563 INFO  HomePage :56 - verifying the homepage title
2022-07-04 11:07:454 INFO  ManageDriver :30 - Launching Chrome Browser
2022-07-04 11:07:23 INFO  HomePage :62 - verifying the homepage text [[ChromeDriver: chrome on WINDOWS (6ce7b6a9934600f85345ab50a0f1bd04)] -> xpath: //h1[contains(text(),'Be the board and business you’ve always wanted to ')]]
2022-07-04 11:07:890 INFO  ManageDriver :30 - Launching Chrome Browser
2022-07-04 11:07:167 INFO  HomePage :69 - verifying number of links present [[[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a]]
2022-07-04 11:07:190 INFO  HomePage :73 - verifying the number of links [[[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a], [[ChromeDriver: chrome on WINDOWS (4b5df6da320916809c9ca3092d0b3bd1)] -> tag name: a]]
